URL,车型名称,外观,内饰,座椅,细节
https://www.autohome.com.cn/cars/imglist-x-x-1004-34942-x-x-x-x-x-1.html,smart forfour 2018款 1.0L 52千瓦灵动版,15,48,49,61
https://www.autohome.com.cn/cars/imglist-x-x-1004-34943-x-x-x-x-x-1.html,smart forfour 2018款 1.0L 52千瓦激情版,7,22,15,15
https://www.autohome.com.cn/cars/imglist-x-x-1004-34555-x-x-x-x-x-1.html,smart forfour 2018款 0.9T 66千瓦风尚型,13,53,65,72
https://www.autohome.com.cn/cars/imglist-x-x-1004-34944-x-x-x-x-x-1.html,smart forfour 2018款 0.9T 66千瓦先锋版,7,32,39,38
https://www.autohome.com.cn/cars/imglist-x-x-1004-34945-x-x-x-x-x-1.html,smart forfour 2018款 0.9T 66千瓦锋型版,7,29,33,45
https://www.autohome.com.cn/cars/imglist-x-x-1004-25995-x-x-x-x-x-1.html,smart forfour 2016款 1.0L 52千瓦灵动版,7,35,41,58
https://www.autohome.com.cn/cars/imglist-x-x-1004-26225-x-x-x-x-x-1.html,smart forfour 2016款 1.0L 52千瓦激情版,7,31,40,48
https://www.autohome.com.cn/cars/imglist-x-x-1004-26155-x-x-x-x-x-1.html,smart forfour 2016款 0.9T 66千瓦先锋版,6,33,43,44
https://www.autohome.com.cn/cars/imglist-x-x-1004-24585-x-x-x-x-x-1.html,smart forfour 2016款 0.9T 66千瓦极致版,5,32,37,42
https://www.autohome.com.cn/cars/imglist-x-x-1004-25994-x-x-x-x-x-1.html,smart forfour 2016款 0.9T 66千瓦特别版,6,31,43,44
https://www.autohome.com.cn/cars/imglist-x-x-1004-29166-x-x-x-x-x-1.html,smart forfour 2017款 0.9T 66千瓦挚爱特别版,7,16,15,12
https://www.autohome.com.cn/cars/imglist-x-x-1005-13884-x-x-x-x-x-1.html,马自达CX-9 2013款 3.7L 自动标准型,36,136,152,175
https://www.autohome.com.cn/cars/imglist-x-x-1006-7077-x-x-x-x-x-1.html,东风风神H30 2010款 1.6L 手动尊雅型,9,31,32,47
https://www.autohome.com.cn/cars/imglist-x-x-1006-7078-x-x-x-x-x-1.html,东风风神H30 2010款 1.6L 自动尊雅型,9,33,35,50
https://www.autohome.com.cn/cars/imglist-x-x-1006-7079-x-x-x-x-x-1.html,东风风神H30 2010款 1.6L 手动尊贵型,13,40,43,56
https://www.autohome.com.cn/cars/imglist-x-x-1006-6542-x-x-x-x-x-1.html,东风风神H30 2010款 1.6L 自动尊贵型,13,37,37,87
https://www.autohome.com.cn/cars/imglist-x-x-1006-7080-x-x-x-x-x-1.html,东风风神H30 2010款 1.6L 自动导航型,2,10,14,14
https://www.autohome.com.cn/cars/imglist-x-x-1006-9365-x-x-x-x-x-1.html,东风风神H30 2011款 1.6L 手动尊雅型,11,19,28,40
https://www.autohome.com.cn/cars/imglist-x-x-1006-9366-x-x-x-x-x-1.html,东风风神H30 2011款 1.6L 自动尊雅型,0,0,0,0
https://www.autohome.com.cn/cars/imglist-x-x-1006-9367-x-x-x-x-x-1.html,东风风神H30 2011款 1.6L 手动尊贵型,0,0,0,0
https://www.autohome.com.cn/cars/imglist-x-x-1006-9368-x-x-x-x-x-1.html,东风风神H30 2011款 1.6L 自动尊贵型,0,0,0,0
https://www.autohome.com.cn/cars/imglist-x-x-1006-9369-x-x-x-x-x-1.html,东风风神H30 2011款 1.6L 自动导航型,2,0,0,0
https://www.autohome.com.cn/cars/imglist-x-x-1006-7567-x-x-x-x-x-1.html,东风风神H30 2011款 CROSS 1.6L 手动尊逸型,31,43,82,102
https://www.autohome.com.cn/cars/imglist-x-x-1006-9949-x-x-x-x-x-1.html,东风风神H30 2011款 CROSS 1.6L 自动尊逸型,18,31,0,41
https://www.autohome.com.cn/cars/imglist-x-x-1006-11543-x-x-x-x-x-1.html,东风风神H30 2012款 1.6L 手动尊雅型,12,37,52,76
